PosX,PosY;Width;Height;Type;Color
36,114;231;6;Rechteck;-16776961
100,111;200;6;Rechteck;-16776961
418,279;6;107;Rechteck;-16776961
320,432;6;365;Rechteck;-16776961
525,315;6;327;Rechteck;-16776961
509,390;6;191;Rechteck;-16776961
430,443;6;359;Rechteck;-16776961
19,233;6;312;Rechteck;-16776961
417,422;6;47;Rechteck;-16776961
112,182;6;277;Rechteck;-16776961
145,220;281;6;Rechteck;-16776961
130,104;6;385;Rechteck;-16776961
202,361;215;6;Rechteck;-16776961
15,458;121;6;Rechteck;-16776961
524,218;124;6;Rechteck;-16776961
503,27;6;130;Rechteck;-16776961
190,234;6;319;Rechteck;-16776961
